City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
207,Laguna,US,2020-06-16 06:14:18,38.42,-121.42,64.99,67,1,4.7
208,Cabo San Lucas,MX,2020-06-16 06:14:18,22.89,-109.91,81.0,64,0,14.54
209,Garowe,SO,2020-06-16 06:14:18,8.41,48.48,83.44,49,78,28.95
210,Tabou,CI,2020-06-16 06:14:18,4.42,-7.35,77.83,82,73,5.01
211,Japura,ID,2020-06-16 06:14:19,-0.32,102.35,91.27,53,97,3.89
212,Komsomolskiy,UZ,2020-06-16 06:14:19,40.43,71.72,87.8,27,0,9.17
213,Kysyl-Syr,RU,2020-06-16 06:14:19,63.9,122.76,68.45,61,98,2.8
214,Hakodate,JP,2020-06-16 06:14:19,41.78,140.74,64.4,82,40,9.17
215,Saint-Francois,FR,2020-06-16 06:14:20,46.42,3.91,57.2,82,76,1.12
216,Mount Gambier,AU,2020-06-16 06:14:20,-37.83,140.77,57.2,87,75,14.99
217,Longyearbyen,SJ,2020-06-16 06:10:52,78.22,15.64,37.4,74,75,14.99
218,Souillac,MU,2020-06-16 06:14:21,-20.52,57.52,75.2,64,40,13.87
219,Buenavista,PH,2020-06-16 06:14:21,8.98,125.41,86.49,58,10,7.63
220,Viedma,AR,2020-06-16 06:14:21,-40.81,-63.0,46.45,56,100,10.33
221,Sampit,ID,2020-06-16 06:14:21,-2.53,112.95,83.23,83,35,2.86
222,Broken Hill,AU,2020-06-16 06:14:22,-31.95,141.43,66.2,39,1,13.87
223,Kapaa,US,2020-06-16 06:14:22,22.08,-159.32,78.8,74,20,16.11
224,Moses Lake,US,2020-06-16 06:10:50,47.13,-119.28,57.2,76,20,5.35
225,Mwinilunga,ZM,2020-06-16 06:14:22,-11.74,24.43,56.21,66,0,9.6
226,Batemans Bay,AU,2020-06-16 06:14:23,-35.72,150.18,66.0,69,19,1.99
227,Hanko,FI,2020-06-16 06:14:23,59.83,22.95,66.99,83,13,3.0
228,Iberia,US,2020-06-16 06:14:23,29.95,-91.75,78.8,83,1,4.7
229,Avenal,US,2020-06-16 06:09:37,36.0,-120.13,75.2,44,40,19.46
230,Matara,LK,2020-06-16 06:14:23,5.95,80.54,83.82,81,95,12.35
231,Samarai,PG,2020-06-16 06:14:24,-10.62,150.67,80.1,82,80,16.91
232,Dashitou,CN,2020-06-16 06:14:24,43.31,128.51,74.34,50,10,10.87
233,Zyryanovsk,KZ,2020-06-16 06:14:24,49.74,84.27,71.87,57,68,3.47
234,Byron Bay,AU,2020-06-16 06:14:25,-28.65,153.62,68.0,72,25,10.29
235,Gat,IL,2020-06-16 06:12:02,31.61,34.76,75.0,65,0,4.0
236,Correntina,BR,2020-06-16 06:14:25,-13.34,-44.64,64.53,83,11,5.44
237,Bahia De Caraquez,EC,2020-06-16 06:14:25,-0.6,-80.42,73.54,82,79,6.67
238,Torbay,CA,2020-06-16 06:14:26,47.67,-52.73,51.8,100,90,4.7
239,Talaya,RU,2020-06-16 06:14:26,61.38,152.75,73.36,27,78,2.26
240,Bathurst,AU,2020-06-16 06:14:27,-33.42,149.58,55.0,72,27,10.89
241,Nome,US,2020-06-16 06:12:26,64.5,-165.41,63.0,51,1,4.7
242,Kovernino,RU,2020-06-16 06:14:27,57.13,43.81,67.89,63,15,5.21
243,Bonavista,CA,2020-06-16 06:14:27,48.65,-53.11,45.0,79,100,1.01
244,Lakselv,NO,2020-06-16 06:14:28,70.05,24.97,46.4,52,40,28.86
245,Morehead,US,2020-06-16 06:14:28,37.27,-87.18,62.6,100,1,4.5
246,Morondava,MG,2020-06-16 06:14:29,-20.28,44.28,71.1,61,0,6.91
247,Hanover,DE,2020-06-16 06:14:29,52.37,9.73,66.0,93,65,3.36
248,Matagami,CA,2020-06-16 06:14:29,49.75,-77.63,57.2,58,1,6.93
249,Tautira,PF,2020-06-16 06:14:30,-17.73,-149.15,80.6,78,20,5.82
250,Tiarei,PF,2020-06-16 06:14:30,-17.53,-149.33,80.6,78,20,5.82
251,Seguela,CI,2020-06-16 06:14:30,7.96,-6.67,70.83,96,13,5.91
252,Tual,ID,2020-06-16 06:14:30,-5.67,132.75,81.63,80,42,16.44
253,San Quintin,MX,2020-06-16 06:14:31,30.48,-115.95,62.31,86,2,5.86
254,Tessalit,ML,2020-06-16 06:14:31,20.2,1.01,88.0,12,0,9.73
255,Ust-Nera,RU,2020-06-16 06:14:31,64.57,143.2,71.74,34,42,4.56
256,Bayji,IQ,2020-06-16 06:14:31,34.93,43.49,98.49,15,0,13.91
257,Liwale,TZ,2020-06-16 06:14:32,-9.77,37.93,69.87,55,19,10.31
258,Chokurdakh,RU,2020-06-16 06:14:32,70.63,147.92,80.47,27,87,3.91
259,Mattru,SL,2020-06-16 06:14:32,7.62,-11.83,74.16,98,42,2.53
260,Pringsewu,ID,2020-06-16 06:14:32,-5.36,104.97,84.4,75,99,5.68
261,Coquimbo,CL,2020-06-16 06:14:33,-29.95,-71.34,55.4,82,87,2.24
262,Fortuna,US,2020-06-16 06:14:33,40.6,-124.16,55.0,100,90,4.7
263,Constitucion,CL,2020-06-16 06:14:33,-35.33,-72.42,55.27,91,100,16.42
264,Cherskiy,RU,2020-06-16 06:14:33,68.75,161.3,78.42,25,8,5.77
265,Petropavlovskoye,RU,2020-06-16 06:14:34,52.07,84.11,65.32,61,72,10.78
266,Srednekolymsk,RU,2020-06-16 06:14:34,67.45,153.68,84.15,25,46,5.53
267,Maniitsoq,GL,2020-06-16 06:14:34,65.42,-52.9,36.45,89,99,4.61
268,Havoysund,NO,2020-06-16 06:14:34,71.0,24.66,42.8,70,40,20.8
269,Tilichiki,RU,2020-06-16 06:14:34,60.47,166.1,49.5,68,45,8.97
270,Korsakov,RU,2020-06-16 06:14:35,46.63,142.78,51.8,81,75,11.18
271,Muros,ES,2020-06-16 06:14:35,42.78,-9.06,57.0,94,82,1.01
272,Dali,CN,2020-06-16 06:14:35,25.7,100.18,79.41,54,59,6.82
273,Porosozero,RU,2020-06-16 06:14:36,62.72,32.73,70.25,50,34,4.29
274,Oytal,KZ,2020-06-16 06:14:36,42.91,73.27,91.08,15,9,7.7
275,Luanda,AO,2020-06-16 06:14:36,-8.84,13.23,73.4,83,75,5.08
276,Coahuayana,MX,2020-06-16 06:14:36,18.73,-103.68,77.61,79,9,1.36
277,Sebinkarahisar,TR,2020-06-16 06:14:37,40.29,38.42,67.57,48,2,2.1
278,Voskresenskoye,RU,2020-06-16 06:14:37,56.84,45.43,69.33,60,50,5.46
279,Hanzhong,CN,2020-06-16 06:14:37,33.07,107.03,70.95,91,100,4.72
280,Preobrazheniye,RU,2020-06-16 06:11:43,42.9,133.91,59.47,72,70,4.38
281,Carbonia,IT,2020-06-16 06:14:38,39.17,8.52,66.2,72,14,8.05
282,Nago,JP,2020-06-16 06:14:38,26.59,127.98,87.8,84,40,17.22
283,Ribeira Grande,PT,2020-06-16 06:14:38,38.52,-28.7,63.43,82,3,13.91
284,Ulladulla,AU,2020-06-16 06:14:15,-35.35,150.47,68.0,37,6,14.99
285,Skibbereen,IE,2020-06-16 06:14:39,51.55,-9.27,55.4,93,75,10.29
286,Longhua,CN,2020-06-16 06:14:40,23.61,114.19,93.33,48,35,8.32
287,Geraldton,AU,2020-06-16 06:14:40,-28.77,114.6,73.4,28,0,13.87
288,Poya,NC,2020-06-16 06:14:40,-21.35,165.15,74.21,67,7,5.08
289,Port-Gentil,GA,2020-06-16 06:14:41,-0.72,8.78,75.2,94,90,5.82
290,Necochea,AR,2020-06-16 06:14:41,-38.55,-58.74,51.01,91,100,11.99
291,Saint George,US,2020-06-16 06:10:16,37.1,-113.58,82.4,15,1,9.17
292,Borca,RO,2020-06-16 06:14:41,47.18,25.77,71.01,83,65,1.99
293,Yorosso,ML,2020-06-16 06:14:42,12.35,-4.78,79.57,62,33,6.2
294,Bilma,NE,2020-06-16 06:14:42,18.69,12.92,89.24,14,0,17.09
295,Mbala,ZM,2020-06-16 06:14:42,-8.84,31.37,58.28,67,8,11.81
296,Tsumeb,NA,2020-06-16 06:14:43,-19.23,17.72,52.86,44,0,8.5
297,Beaverlodge,CA,2020-06-16 06:14:43,55.22,-119.44,51.8,76,75,3.36
298,Elliot,ZA,2020-06-16 06:14:43,-31.33,27.85,36.09,70,0,3.24
299,Oksfjord,NO,2020-06-16 06:14:43,70.24,22.35,45.0,75,75,12.75
300,Lima,PE,2020-06-16 06:11:53,-12.04,-77.03,62.6,82,75,8.05
301,Dunedin,NZ,2020-06-16 06:14:44,-45.87,170.5,59.0,65,23,1.01
302,Alekseyevka,RU,2020-06-16 06:14:44,50.63,38.69,68.59,68,31,12.84
303,Brigantine,US,2020-06-16 06:14:44,39.41,-74.36,61.0,87,1,3.36
304,Kamenka,RU,2020-06-16 06:14:44,51.32,42.77,66.96,67,3,10.51
305,Nabire,ID,2020-06-16 06:14:45,-3.37,135.48,81.03,76,100,4.99
